,state,spending,tot_population,crime_rate
0,1,1345168,4907965,504.7
1,2,383193,733603,865.0
2,4,2885044,7291843,447.1
3,5,713113,3020985,580.8
4,6,20609112,39437610,442.1
5,8,2123285,5758486,384.6
6,9,1246591,3566022,184.6
7,10,373200,976668,422.7
8,11,657169,708253,1045.2
9,12,9406340,21492056,378.2
10,13,2943596,10628020,326.2
11,15,506957,1415615,264.5
12,16,481628,1789060,232.6
13,17,5599245,12667017,415.3
14,18,1563196,6731010,371.5
15,19,874585,3159596,287.6
16,20,1026031,2912635,405.5
17,21,818618,4472345,220.7
18,22,1619987,4658285,559.7
19,23,330889,1345770,116.1
20,24,2966081,6054954,454.4
21,25,2356587,6894883,328.7
22,26,2795036,9984795,438.6
23,27,2329653,5640053,237.5
24,28,782917,2978227,261.2
25,29,2083212,6140475,499.6
26,30,350823,1070123,417.9
27,31,557077,1932571,304.6
28,32,1401568,3090771,496.1
29,33,486833,1360783,158.1
30,34,3704896,8891258,206.7
31,35,766621,2099634,824.0
32,36,10745601,19463131,361.0
33,37,3458275,10501384,378.7
34,38,239500,763724,301.4
35,39,3928384,11696507,296.0
36,40,1094437,3960676,436.3
37,41,1509894,4216116,293.7
38,42,4433170,12798883,306.0
39,44,498047,1058158,222.7
40,45,1390348,5157702,510.1
41,46,218710,887127,397.1
42,47,2266478,6830325,598.9
43,48,8818264,28986794,421.8
44,49,921999,3203383,236.9
45,50,213891,624046,207.2
46,51,2553865,8556642,209.4
47,53,2347668,7614024,303.3
48,54,426095,1795263,318.9
49,55,1899912,5824581,297.1
50,56,226092,580116,215.0
